Player,Rating,Year
Andrew Wiggins,overrated,2022
Anthony Davis,"properly rated, properly rated, underrated","2019, 2021, 2022"
Ben Simmons,"overrated, overrated","2019, 2021"
Blake Griffin,properly rated,2019
Bradley Beal,"properly rated, properly rated, underrated","2019, 2021, 2022"
Brandon Ingram,underrated,2021
CJ McCollum,underrated,2021
Chris Paul,"overrated, properly rated","2021, 2022"
Damian Lillard,"properly rated, properly rated","2019, 2021"
Darius Garland,overrated,2022
DeMar DeRozan,properly rated,2022
Dejounte Murray,properly rated,2022
Devin Booker,"underrated, properly rated, properly rated","2019, 2021, 2022"
Dirk Nowitzki,overrated,2019
Domantas Sabonis,properly rated,2021
Donovan Mitchell,"overrated, properly rated","2021, 2022"
Draymond Green,overrated,2022
Dwyane Wade,overrated,2019
Fred VanVleet,overrated,2022
Giannis Antetokounmpo,"properly rated, properly rated, properly rated","2019, 2021, 2022"
Ja Morant,properly rated,2022
James Harden,"properly rated, properly rated, properly rated","2019, 2021, 2022"
Jarrett Allen,overrated,2022
Jaylen Brown,overrated,2021
Jayson Tatum,"properly rated, properly rated","2021, 2022"
Jimmy Butler,"underrated, properly rated","2021, 2022"
Joel Embiid,"properly rated, properly rated, properly rated","2019, 2021, 2022"
John Wall,underrated,2019
Jrue Holiday,underrated,2019
Julius Randle,"underrated, properly rated","2019, 2021"
Karl-Anthony Towns,"properly rated, underrated, properly rated","2019, 2021, 2022"
Kawhi Leonard,"properly rated, properly rated","2019, 2021"
Kemba Walker,properly rated,2019
Kevin Durant,"properly rated, properly rated, properly rated","2019, 2021, 2022"
Khris Middleton,"overrated, overrated","2019, 2022"
Klay Thompson,overrated,2019
Kyle Lowry,overrated,2019
Kyrie Irving,"properly rated, properly rated, underrated","2019, 2021, 2022"
LaMarcus Aldridge,overrated,2019
LaMelo Ball,overrated,2022
LeBron James,"properly rated, properly rated, properly rated","2019, 2021, 2022"
Luka Dončić,"properly rated, properly rated","2021, 2022"
Mike Conley,overrated,2021
Nikola Jokić,"overrated, properly rated, properly rated","2019, 2021, 2022"
Nikola Vučević,"overrated, overrated","2019, 2021"
Pascal Siakam,underrated,2022
Paul George,"properly rated, properly rated, underrated","2019, 2021, 2022"
Rudy Gobert,"overrated, overrated","2021, 2022"
Russell Westbrook,properly rated,2019
Shai Gilgeous-Alexander,"underrated, underrated","2021, 2022"
Stephen Curry,"properly rated, properly rated, properly rated","2019, 2021, 2022"
Trae Young,"underrated, properly rated","2021, 2022"
Victor Oladipo,overrated,2019
Zach LaVine,"properly rated, overrated","2021, 2022"
Zion Williamson,properly rated,2021
