Player,Rating,Year
Andre Drummond,underrated,2019
Andrew Wiggins,overrated,2022
Anthony Davis,"properly rated, properly rated, underrated, underrated","2019, 2021, 2022, 2023"
Anthony Edwards,properly rated,2023
Bam Adebayo,"underrated, underrated, properly rated","2021, 2022, 2023"
Ben Simmons,"properly rated, properly rated","2019, 2021"
Blake Griffin,properly rated,2019
Bradley Beal,"properly rated, properly rated, underrated, underrated","2019, 2021, 2022, 2023"
Brandon Ingram,"underrated, underrated, underrated","2021, 2022, 2023"
CJ McCollum,"underrated, underrated","2021, 2022"
Chris Paul,"properly rated, properly rated","2021, 2022"
Christian Wood,underrated,2021
Clint Capela,"underrated, underrated","2019, 2021"
D'Angelo Russell,underrated,2019
Damian Lillard,"properly rated, properly rated, underrated, properly rated","2019, 2021, 2022, 2023"
Darius Garland,"properly rated, underrated","2022, 2023"
De'Aaron Fox,"underrated, underrated, properly rated","2021, 2022, 2023"
DeMar DeRozan,"underrated, underrated, properly rated, properly rated","2019, 2021, 2022, 2023"
Dejounte Murray,"properly rated, underrated","2022, 2023"
Desmond Bane,underrated,2023
Devin Booker,"underrated, properly rated, properly rated, underrated","2019, 2021, 2022, 2023"
Dirk Nowitzki,overrated,2019
Domantas Sabonis,"properly rated, underrated, properly rated","2021, 2022, 2023"
Donovan Mitchell,"underrated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Draymond Green,overrated,2022
Dwyane Wade,overrated,2019
Fred VanVleet,"underrated, properly rated, underrated","2021, 2022, 2023"
Giannis Antetokounmpo,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Ja Morant,"properly rated, properly rated","2022, 2023"
Jalen Brunson,underrated,2023
Jamal Murray,underrated,2021
James Harden,"properly rated, properly rated, properly rated, underrated","2019, 2021, 2022, 2023"
Jaren Jackson Jr.,properly rated,2023
Jarrett Allen,"underrated, properly rated","2021, 2022"
Jaylen Brown,"properly rated, underrated, properly rated","2021, 2022, 2023"
Jayson Tatum,"properly rated, properly rated, properly rated","2021, 2022, 2023"
Jerami Grant,underrated,2021
Jimmy Butler,"underrated, properly rated, underrated","2021, 2022, 2023"
Joel Embiid,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
John Wall,underrated,2019
Jonas Valančiūnas,"underrated, underrated","2019, 2022"
Jordan Sibert,underrated,2019
Jrue Holiday,"underrated, underrated, properly rated","2019, 2022, 2023"
Julius Randle,"underrated, properly rated, properly rated","2019, 2021, 2023"
Karl-Anthony Towns,"properly rated, underrated, properly rated, underrated","2019, 2021, 2022, 2023"
Kawhi Leonard,"properly rated, properly rated, underrated","2019, 2021, 2023"
Kemba Walker,properly rated,2019
Kevin Durant,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Khris Middleton,"overrated, underrated, overrated","2019, 2021, 2022"
Klay Thompson,overrated,2019
Kristaps Porziņģis,"underrated, underrated, underrated","2021, 2022, 2023"
Kyle Lowry,"overrated, underrated","2019, 2021"
Kyrie Irving,"properly rated, properly rated, underrated, properly rated","2019, 2021, 2022, 2023"
LaMarcus Aldridge,properly rated,2019
LaMelo Ball,"properly rated, underrated","2022, 2023"
Lauri Markkanen,properly rated,2023
LeBron James,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Luka Dončić,"underrated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Malcolm Brogdon,underrated,2021
Mike Conley,"underrated, overrated","2019, 2021"
Myles Turner,underrated,2023
Nikola Jokić,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Nikola Vučević,"properly rated, properly rated, underrated","2019, 2021, 2023"
Pascal Siakam,"underrated, properly rated","2022, 2023"
Paul George,"properly rated, properly rated, underrated, properly rated","2019, 2021, 2022, 2023"
Rudy Gobert,"underrated, properly rated, properly rated","2019, 2021, 2022"
Russell Westbrook,"properly rated, underrated","2019, 2021"
Shai Gilgeous-Alexander,"underrated, underrated, properly rated","2021, 2022, 2023"
Skylar Mays,underrated,2023
Stephen Curry,"properly rated, properly rated, properly rated, properly rated","2019, 2021, 2022, 2023"
Tobias Harris,underrated,2021
Trae Young,"underrated, properly rated, underrated","2021, 2022, 2023"
Tyrese Haliburton,properly rated,2023
Victor Oladipo,overrated,2019
Zach LaVine,"underrated, properly rated, properly rated, underrated","2019, 2021, 2022, 2023"
Zion Williamson,"properly rated, properly rated","2021, 2023"
