Player,Pos,RPG,APG,SPG,BPG,PPG,TS%,Pos_og,Year,All Star,MVP
Precious Achiuwa,F,3.9,0.6,0.4,0.5,5.9,0.578,PF,2021,False,N
Jaylen Adams,G,0.4,0.3,0.0,0.0,0.3,0.125,PG,2021,False,N
Steven Adams,C,9.1,2.3,0.9,0.6,8.2,0.604,C,2021,False,N
Bam Adebayo,C,9.6,5.5,0.9,1.0,19.6,0.636,C,2021,False,N
LaMarcus Aldridge,C,4.5,1.8,0.4,0.9,14.3,0.549,C,2021,False,N
Ty-Shon Alexander,G,0.3,0.3,0.0,0.0,0.0,0.0,SG,2021,False,N
Nickeil Alexander-Walker,G,2.3,1.9,1.0,0.3,8.0,0.513,SG,2021,False,N
Grayson Allen,G,2.8,2.2,1.0,0.1,9.3,0.592,SG,2021,False,N
Jarrett Allen,C,9.3,1.8,0.4,1.9,14.8,0.698,C,2021,False,N
Al-Farouq Aminu,F,3.9,1.6,1.1,0.4,3.7,0.496,PF,2021,False,N
Kyle Anderson,F,6.3,3.7,1.2,0.7,13.6,0.596,PF,2021,False,N
Giannis Antetokounmpo,F,11.7,5.9,1.3,1.3,28.9,0.618,PF,2021,True,N
Kostas Antetokounmpo,F,2.5,0.0,0.0,1.0,0.5,0.174,PF,2021,False,N
Thanasis Antetokounmpo,F,2.3,0.7,0.3,0.2,2.4,0.612,SF,2021,False,N
Carmelo Anthony,F,3.4,1.3,0.8,0.8,13.1,0.512,PF,2021,False,N
Cole Anthony,G,4.4,3.8,0.7,0.4,11.0,0.469,PG,2021,False,N
OG Anunoby,F,5.7,1.7,1.6,0.7,13.8,0.607,SF,2021,False,N
Ryan Arcidiacono,G,1.9,1.4,0.3,0.0,3.2,0.553,PG,2021,False,N
D.J. Augustin,G,1.3,3.1,0.5,0.0,6.2,0.514,PG,2021,False,N
Deni Avdija,F,4.6,1.4,0.7,0.2,6.1,0.528,SF,2021,False,N
Deandre Ayton,C,11.7,1.7,0.3,1.1,14.3,0.622,C,2021,False,N
Udoka Azubuike,C,1.1,0.0,0.1,0.3,1.0,0.622,C,2021,False,N
Dwayne Bacon,G,2.9,0.9,0.6,0.1,10.3,0.51,SG,2021,False,N
Marvin Bagley III,F,7.5,0.9,0.5,0.5,13.7,0.547,PF,2021,False,N
LaMelo Ball,G,6.1,6.1,1.6,0.3,15.0,0.544,PG,2021,False,N
Lonzo Ball,G,4.2,5.1,1.3,0.5,14.5,0.567,PG,2021,False,N
Mo Bamba,C,3.8,0.3,0.2,0.8,4.9,0.584,C,2021,False,N
Desmond Bane,G,2.6,1.4,0.6,0.1,9.6,0.601,SG,2021,False,N
Harrison Barnes,F,6.2,3.5,0.9,0.2,16.2,0.618,PF,2021,False,N
RJ Barrett,G,6.2,2.9,0.7,0.2,16.3,0.506,SG,2021,False,N
Will Barton,F,3.8,3.1,0.8,0.4,11.3,0.526,SF,2021,False,N
Keita Bates-Diop,F,0.7,0.4,0.5,0.0,1.4,0.4,SF,2021,False,N
Nicolas Batum,F,4.8,2.3,1.3,0.4,9.0,0.648,SF,2021,False,N
Aron Baynes,C,5.4,1.0,0.3,0.4,5.9,0.476,C,2021,False,N
Kent Bazemore,F,3.0,1.6,0.9,0.6,6.5,0.627,SF,2021,False,N
Darius Bazley,F,7.4,1.6,0.5,0.6,11.9,0.492,PF,2021,False,N
Bradley Beal,G,5.3,4.9,1.3,0.4,32.8,0.596,SG,2021,True,N
Malik Beasley,G,4.6,2.5,0.8,0.2,20.5,0.582,SG,2021,False,N
Jordan Bell,C,5.3,1.7,0.3,1.0,3.3,0.333,C,2021,False,N
DeAndre' Bembry,F,2.0,1.8,0.6,0.3,4.6,0.661,SF,2021,False,N
Dāvis Bertāns,F,3.1,1.0,0.7,0.3,11.3,0.581,PF,2021,False,N
Patrick Beverley,G,3.8,2.2,0.9,0.7,8.3,0.61,PG,2021,False,N
Saddiq Bey,F,3.9,1.1,0.6,0.0,9.8,0.6,SF,2021,False,N
Tyler Bey,F,0.8,0.0,0.0,0.3,1.5,0.444,SF,2021,False,N
Khem Birch,C,5.5,1.1,0.6,0.8,6.1,0.566,C,2021,False,N
Goga Bitadze,C,2.1,0.2,0.2,1.0,4.0,0.616,C,2021,False,N
Bismack Biyombo,C,5.6,1.4,0.3,1.2,5.5,0.549,C,2021,False,N
Nemanja Bjelica,F,4.0,2.2,0.2,0.1,8.3,0.577,PF,2021,False,N
Eric Bledsoe,G,3.5,3.6,0.8,0.3,12.8,0.555,SG,2021,False,N
Keljin Blevins,F,0.2,0.4,0.2,0.0,0.4,0.182,SF,2021,False,N
Bogdan Bogdanović,G,3.8,2.1,0.4,0.1,9.9,0.543,SG,2021,False,N
Bojan Bogdanović,F,3.8,2.0,0.4,0.1,15.2,0.581,SF,2021,False,N
Bol Bol,F,0.8,0.2,0.1,0.4,1.8,0.571,PF,2021,False,N
Marques Bolden,C,1.0,0.0,0.3,0.3,1.2,0.537,C,2021,False,N
Jordan Bone,G,1.7,1.3,0.1,0.0,4.0,0.519,PG,2021,False,N
Isaac Bonga,F,2.1,0.6,0.3,0.2,2.4,0.563,SF,2021,False,N
Devin Booker,G,3.6,4.3,0.9,0.3,24.9,0.599,SG,2021,True,N
Chris Boucher,C,6.5,1.0,0.6,2.0,13.0,0.651,C,2021,False,N
Brian Bowen,F,1.0,0.0,0.0,0.0,3.0,0.615,SF,2021,False,N
Avery Bradley,G,1.8,1.4,0.7,0.1,8.5,0.607,SG,2021,False,N
Tony Bradley,C,4.5,0.5,0.3,0.5,3.9,0.548,C,2021,False,N
Jarrell Brantley,F,0.7,0.0,0.1,0.1,1.1,0.55,PF,2021,False,N
Ignas Brazdeikis,F,0.5,0.3,0.0,0.0,0.5,0.532,SF,2021,False,N
Mikal Bridges,F,5.0,2.2,0.7,1.0,13.8,0.653,SF,2021,False,N
Miles Bridges,F,5.6,1.9,0.8,0.7,9.9,0.596,PF,2021,False,N
Malcolm Brogdon,G,4.8,6.4,1.2,0.3,21.4,0.542,PG,2021,False,N
Dillon Brooks,F,3.2,2.5,1.3,0.4,15.8,0.487,SF,2021,False,N
Bruce Brown,G,4.6,1.2,0.7,0.3,7.8,0.621,PG,2021,False,N
Jaylen Brown,G,5.5,4.0,1.1,0.5,25.0,0.59,SG,2021,True,N
Moses Brown,C,2.1,0.4,0.1,0.6,3.0,0.65,C,2021,False,N
Sterling Brown,G,4.1,1.8,0.9,0.2,7.4,0.598,SG,2021,False,N
Troy Brown Jr.,F,3.2,0.8,0.1,0.1,4.4,0.459,SF,2021,False,N
Jalen Brunson,G,3.3,3.4,0.5,0.0,12.4,0.645,PG,2021,False,N
Thomas Bryant,C,6.1,1.5,0.4,0.8,14.3,0.704,C,2021,False,N
Reggie Bullock,F,3.4,1.3,0.7,0.2,8.6,0.536,SF,2021,False,N
Trey Burke,G,1.0,1.5,0.7,0.1,7.5,0.569,PG,2021,False,N
Alec Burks,G,4.5,2.0,0.7,0.2,11.3,0.567,SG,2021,False,N
Jimmy Butler,F,7.8,7.8,1.9,0.4,20.1,0.56,SF,2021,False,N
Bruno Caboclo,F,2.3,0.2,0.0,0.3,2.8,0.475,PF,2021,False,N
Devontae Cacok,F,0.3,0.0,0.3,0.0,2.0,1.0,PF,2021,False,N
Kentavious Caldwell-Pope,G,2.2,1.4,0.7,0.3,8.8,0.593,SG,2021,False,N
Facundo Campazzo,G,1.0,2.1,1.0,0.2,5.5,0.58,PG,2021,False,N
Vlatko Čančar,F,0.8,0.2,0.2,0.1,0.6,0.337,PF,2021,False,N
Clint Capela,C,14.1,0.9,0.8,2.2,14.7,0.598,C,2021,False,N
Vernon Carey Jr.,C,1.0,0.3,0.0,0.3,1.0,0.387,C,2021,False,N
Jevon Carter,G,1.4,1.2,0.4,0.3,2.7,0.462,PG,2021,False,N
Wendell Carter Jr.,C,7.7,2.2,0.8,0.9,12.7,0.612,C,2021,False,N
Michael Carter-Williams,G,4.5,3.8,0.5,0.5,7.7,0.432,SG,2021,False,N
Alex Caruso,G,2.6,2.3,1.1,0.2,5.5,0.528,PG,2021,False,N
Willie Cauley-Stein,C,4.6,0.8,0.3,0.8,5.7,0.643,C,2021,False,N
Chris Chiozza,G,1.0,2.5,0.3,0.3,3.8,0.503,PG,2021,False,N
Marquese Chriss,F,6.5,1.0,0.0,1.0,6.5,0.412,PF,2021,False,N
Gary Clark,F,3.4,0.9,0.4,0.2,3.3,0.418,SF,2021,False,N
Brandon Clarke,F,5.4,1.6,1.1,0.7,12.3,0.547,PF,2021,False,N
Jordan Clarkson,G,3.9,2.2,0.9,0.2,18.1,0.581,SG,2021,False,N
Nicolas Claxton,C,2.0,1.0,1.3,1.3,5.7,0.564,C,2021,False,N
Amir Coffey,G,0.8,0.4,0.2,0.0,2.8,0.637,SG,2021,False,N
John Collins,F,7.5,1.5,0.5,0.9,17.6,0.622,PF,2021,False,N
Mike Conley,G,3.6,5.7,1.5,0.1,16.2,0.592,PG,2021,True,N
Pat Connaughton,G,3.9,1.5,0.7,0.5,6.2,0.59,SG,2021,False,N
Quinn Cook,G,0.3,0.3,0.1,0.1,2.1,0.585,PG,2021,False,N
Tyler Cook,F,1.0,1.0,0.0,0.0,1.0,0.333,PF,2021,False,N
DeMarcus Cousins,C,7.6,2.4,0.8,0.7,9.6,0.511,C,2021,False,N
Robert Covington,F,6.4,1.7,1.5,1.0,7.3,0.49,PF,2021,False,N
Torrey Craig,F,2.4,0.8,0.6,0.3,2.7,0.526,SF,2021,False,N
Jae Crowder,F,5.0,2.2,0.9,0.2,10.2,0.556,PF,2021,False,N
Jarrett Culver,G,5.0,0.9,0.6,0.4,7.8,0.502,SG,2021,False,N
Seth Curry,G,2.1,2.7,0.9,0.3,12.7,0.607,SG,2021,False,N
Stephen Curry,G,5.5,6.3,1.2,0.1,29.9,0.651,PG,2021,True,N
Anthony Davis,F,8.4,3.0,1.3,1.8,22.5,0.588,PF,2021,True,N
Ed Davis,C,5.1,1.0,0.5,0.5,2.3,0.462,C,2021,False,N
Terence Davis,G,1.9,0.9,0.5,0.2,6.6,0.556,SG,2021,False,N
DeMar DeRozan,F,4.8,7.0,0.8,0.3,20.3,0.608,PF,2021,False,N
Hamidou Diallo,G,5.2,2.4,1.0,0.4,11.9,0.536,SG,2021,False,N
Gorgui Dieng,C,4.5,1.3,0.8,0.7,7.7,0.681,C,2021,False,N
Spencer Dinwiddie,G,4.3,3.0,0.7,0.3,6.7,0.536,SG,2021,False,N
Donte DiVincenzo,G,4.6,3.0,1.1,0.2,10.5,0.544,SG,2021,False,N
Luka Dončić,G,8.4,9.0,1.0,0.7,28.5,0.584,PG,2021,True,N
Luguentz Dort,G,3.4,1.5,0.8,0.3,12.5,0.521,SG,2021,False,N
Damyean Dotson,G,1.8,2.3,0.4,0.1,7.3,0.501,SG,2021,False,N
Devon Dotson,G,1.0,0.0,0.0,0.0,4.0,0.5,PG,2021,False,N
Sekou Doumbouya,F,2.4,0.7,0.4,0.1,3.9,0.421,PF,2021,False,N
PJ Dozier,G,4.2,1.3,0.5,0.6,7.2,0.574,SG,2021,False,N
Goran Dragić,G,3.0,5.0,0.6,0.1,15.0,0.572,PG,2021,False,N
