Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
achiupr01,22,0.503,6.5,1.1,9.1,0.6,0.5,Precious Achiuwa,C,C,2022,False,N
adamsst01,28,0.56,10.0,3.4,6.9,0.8,0.9,Steven Adams,C,C,2022,False,N
adebaba01,24,0.608,10.1,3.4,19.1,0.8,1.4,Bam Adebayo,C,C,2022,False,N
aldamsa01,21,0.452,2.7,0.7,4.1,0.3,0.2,Santi Aldama,F,PF,2022,False,N
aldrila01,36,0.604,5.5,0.9,12.9,1.0,0.3,LaMarcus Aldridge,C,C,2022,False,N
alexani01,23,0.482,2.5666666666666664,2.0999999999999996,8.966666666666667,0.3666666666666667,0.6,Nickeil Alexander-Walker,G,SG,2022,False,N
allengr01,26,0.609,3.4,1.5,11.1,0.3,0.7,Grayson Allen,G,SG,2022,False,N
allenja01,23,0.698,10.8,1.6,16.1,1.3,0.8,Jarrett Allen,C,C,2022,True,N
alvarjo01,23,0.52,1.9,2.8,6.1,0.1,1.3,Jose Alvarado,G,PG,2022,False,N
anderju01,28,0.5446666666666666,2.6666666666666665,2.0666666666666664,5.833333333333333,0.3,0.43333333333333335,Justin Anderson,F,SF,2022,False,N
anderky01,28,0.506,5.3,2.7,7.6,0.7,1.1,Kyle Anderson,F,PF,2022,False,N
antetgi01,27,0.633,11.6,5.8,29.9,1.4,1.1,Giannis Antetokounmpo,F,PF,2022,True,N
antetth01,29,0.577,2.1,0.5,3.6,0.3,0.3,Thanasis Antetokounmpo,F,SF,2022,False,N
anthoca01,37,0.579,4.2,1.0,13.3,0.8,0.7,Carmelo Anthony,F,PF,2022,False,N
anthoco01,21,0.519,5.4,5.7,16.3,0.3,0.7,Cole Anthony,G,PG,2022,False,N
anunoog01,24,0.549,5.5,2.6,17.1,0.5,1.5,OG Anunoby,F,SF,2022,False,N
arcidry01,27,0.667,0.8,0.4,1.6,0.0,0.1,Ryan Arcidiacono,G,PG,2022,False,N
arizatr01,36,0.449,3.4,1.1,4.0,0.3,0.5,Trevor Ariza,F,SF,2022,False,N
augusdj01,34,0.6136666666666667,1.2333333333333334,1.8999999999999997,5.333333333333333,0.0,0.3,D.J. Augustin,G,PG,2022,False,N
avdijde01,21,0.536,5.2,2.0,8.4,0.5,0.7,Deni Avdija,F,SF,2022,False,N
ayayijo01,21,0.167,0.4,0.6,0.3,0.0,0.0,Joel Ayayi,G,SG,2022,False,N
aytonde01,23,0.656,10.2,1.4,17.2,0.7,0.7,Deandre Ayton,C,C,2022,False,N
azubuud01,22,0.743,4.2,0.0,4.7,0.6,0.1,Udoka Azubuike,C,C,2022,False,N
baglema01,22,0.5523333333333333,7.0,0.8333333333333334,11.733333333333334,0.4000000000000001,0.5,Marvin Bagley III,F,PF,2022,False,N
ballla01,20,0.554,6.7,7.6,20.1,0.4,1.6,LaMelo Ball,G,PG,2022,True,N
balllo01,24,0.575,5.4,5.1,13.0,0.9,1.8,Lonzo Ball,G,PG,2022,False,N
bambamo01,23,0.582,8.1,1.2,10.6,1.7,0.5,Mo Bamba,C,C,2022,False,N
banede01,23,0.592,4.4,2.7,18.2,0.4,1.2,Desmond Bane,G,SG,2022,False,N
bantoda01,22,0.463,1.9,1.5,3.2,0.2,0.4,Dalano Banton,G,PG,2022,False,N
barbeca01,27,0.0,1.0,1.0,0.0,0.0,0.0,Cat Barber,G,PG,2022,False,N
barneha02,29,0.623,5.6,2.4,16.4,0.2,0.7,Harrison Barnes,F,PF,2022,False,N
barnesc01,20,0.552,7.5,3.5,15.3,0.7,1.1,Scottie Barnes,F,PF,2022,False,N
barrerj01,21,0.511,5.8,3.0,20.0,0.2,0.6,RJ Barrett,F,SF,2022,False,N
bartowi01,31,0.548,4.8,3.9,14.7,0.4,0.8,Will Barton,G,SG,2022,False,N
bassech01,21,0.66,2.7,0.3,3.0,0.7,0.2,Charles Bassey,C,C,2022,False,N
basspa01,26,0.436,2.0,0.0,3.0,0.0,0.5,Paris Bass,F,SF,2022,False,N
bateske01,26,0.578,3.9,0.7,5.7,0.2,0.5,Keita Bates-Diop,F,SF,2022,False,N
batumni01,33,0.608,4.3,1.7,8.3,0.7,1.0,Nicolas Batum,F,PF,2022,False,N
bazemke01,32,0.451,1.8,0.9,3.4,0.2,0.6,Kent Bazemore,F,SF,2022,False,N
bazleda01,21,0.515,6.3,1.4,10.8,1.0,0.8,Darius Bazley,F,PF,2022,False,N
bealbr01,28,0.539,4.7,6.6,23.2,0.4,0.9,Bradley Beal,G,SG,2022,False,N
beaslma01,25,0.544,2.9,1.5,12.1,0.2,0.5,Malik Beasley,G,SG,2022,False,N
belljo01,27,0.0,1.0,0.0,0.0,0.0,1.0,Jordan Bell,C,C,2022,False,N
bembrde01,27,0.5283333333333333,2.5,1.0999999999999999,3.9,0.3,0.7333333333333333,DeAndre' Bembry,F,SF,2022,False,N
bertada01,29,0.5326666666666667,2.1333333333333333,0.6,5.533333333333334,0.2333333333333333,0.3,Dāvis Bertāns,F,PF,2022,False,N
beverpa01,33,0.539,4.1,4.6,9.2,0.9,1.2,Patrick Beverley,G,PG,2022,False,N
beysa01,22,0.529,5.4,2.8,16.1,0.2,0.9,Saddiq Bey,F,SF,2022,False,N
birchkh01,29,0.534,4.3,1.0,4.5,0.5,0.5,Khem Birch,C,C,2022,False,N
bitadgo01,22,0.595,3.5,1.1,7.0,0.8,0.4,Goga Bitadze,C,C,2022,False,N
biyombi01,29,0.596,4.6,0.6,5.8,0.7,0.3,Bismack Biyombo,C,C,2022,False,N
bjeline01,33,0.573,4.1,2.2,6.1,0.4,0.6,Nemanja Bjelica,C,C,2022,False,N
bledser01,32,0.514,3.4,4.2,9.9,0.4,1.3,Eric Bledsoe,G,PG,2022,False,N
blevike01,26,0.41,1.5,0.6,3.1,0.0,0.4,Keljin Blevins,F,SF,2022,False,N
