Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star
achiupr01,23,0.544,5.8,0.9,8.9,0.6,0.5,Precious Achiuwa,C,C,2023,False
adamsst01,29,0.564,11.5,2.3,8.6,1.1,0.9,Steven Adams,C,C,2023,False
adebaba01,25,0.592,9.3,3.3,20.7,0.8,1.2,Bam Adebayo,C,C,2023,True
agbajoc01,22,0.585,2.1,1.0,7.5,0.3,0.3,Ochai Agbaji,G,SG,2023,False
aldamsa01,22,0.594,4.9,1.3,9.1,0.6,0.6,Santi Aldama,F,PF,2023,False
alexani01,24,0.5463333333333333,1.8,1.7333333333333334,5.933333333333334,0.3666666666666667,0.5,Nickeil Alexander-Walker,G,SG,2023,False
allengr01,27,0.612,3.3,2.3,10.4,0.2,0.9,Grayson Allen,G,SG,2023,False
allenja01,24,0.671,9.9,1.7,14.4,1.2,0.8,Jarrett Allen,C,C,2023,False
alvarjo01,24,0.525,2.3,3.0,9.0,0.2,1.1,Jose Alvarado,G,PG,2023,False
anderky01,29,0.584,5.3,4.9,9.4,0.9,1.1,Kyle Anderson,F,PF,2023,False
antetgi01,28,0.605,11.8,5.7,31.1,0.8,0.8,Giannis Antetokounmpo,F,PF,2023,True
antetth01,30,0.387,0.9,0.2,0.7,0.1,0.1,Thanasis Antetokounmpo,F,SF,2023,False
anthoco01,22,0.573,4.7,3.9,13.0,0.5,0.6,Cole Anthony,G,PG,2023,False
anunoog01,25,0.593,5.0,2.0,17.0,0.7,1.9,OG Anunoby,F,SF,2023,False
arcidry01,28,0.33666666666666667,0.8000000000000002,1.2333333333333332,1.4000000000000001,0.0,0.26666666666666666,Ryan Arcidiacono,G,PG,2023,False
avdijde01,22,0.535,6.4,2.8,9.2,0.4,0.9,Deni Avdija,F,SF,2023,False
aytonde01,24,0.615,10.0,1.7,18.0,0.8,0.6,Deandre Ayton,C,C,2023,False
azubuud01,23,0.762,2.9,0.3,2.8,0.4,0.2,Udoka Azubuike,C,C,2023,False
baglema01,23,0.589,6.4,0.9,12.0,0.7,0.5,Marvin Bagley III,C,C,2023,False
baldwpa01,20,0.55,1.3,0.3,3.9,0.1,0.2,Patrick Baldwin Jr.,F,SF,2023,False
ballla01,21,0.541,6.4,8.4,23.3,0.3,1.3,LaMelo Ball,G,PG,2023,False
bambamo01,24,0.585,4.866666666666667,0.9,6.166666666666667,0.8333333333333334,0.2333333333333333,Mo Bamba,C,C,2023,False
banchpa01,20,0.529,6.9,3.7,20.0,0.5,0.8,Paolo Banchero,F,PF,2023,False
banede01,24,0.607,5.0,4.3,21.6,0.4,1.0,Desmond Bane,G,SG,2023,False
bantoda01,23,0.491,1.3,1.0,4.2,0.4,0.4,Dalano Banton,G,PG,2023,False
barlodo01,19,0.552,3.0,0.8,3.2,0.7,0.3,Dominick Barlow,F,SF,2023,False
barneha02,30,0.63,4.5,1.6,15.0,0.1,0.7,Harrison Barnes,F,PF,2023,False
barnesc01,21,0.526,6.8,4.8,15.5,0.8,1.1,Scottie Barnes,F,PF,2023,False
barrerj01,22,0.532,5.1,2.7,19.5,0.2,0.4,RJ Barrett,G,SG,2023,False
bartowi01,32,0.48033333333333333,2.2666666666666666,1.8666666666666665,6.2,0.2333333333333333,0.5,Will Barton,G,SG,2023,False
bassech01,22,0.658,5.5,1.3,5.7,0.9,0.5,Charles Bassey,C,C,2023,False
bateske01,27,0.604,3.6,1.4,9.1,0.3,0.7,Keita Bates-Diop,F,SF,2023,False
batumni01,34,0.599,3.9,1.5,6.2,0.5,0.7,Nicolas Batum,F,PF,2023,False
bazleda01,22,0.49900000000000005,2.566666666666667,0.8666666666666667,4.0,0.6666666666666666,0.4666666666666666,Darius Bazley,F,PF,2023,False
bealbr01,29,0.593,3.9,5.4,23.2,0.7,0.9,Bradley Beal,G,SG,2023,False
beaslma01,26,0.5216666666666666,3.5,1.4333333333333336,12.266666666666666,0.06666666666666667,0.8000000000000002,Malik Beasley,G,SG,2023,False
beaucma01,22,0.516,2.1,0.6,5.0,0.1,0.4,MarJon Beauchamp,F,SF,2023,False
bertada01,30,0.606,1.0,0.5,4.1,0.1,0.2,Dāvis Bertāns,F,PF,2023,False
beverpa01,34,0.5256666666666666,3.9333333333333336,2.9,6.166666666666667,0.6333333333333333,0.8666666666666667,Patrick Beverley,G,PG,2023,False
beysa01,23,0.5710000000000001,4.8,1.4666666666666668,13.466666666666669,0.13333333333333333,0.8666666666666666,Saddiq Bey,F,SF,2023,False
birchkh01,30,0.629,1.3,0.4,2.2,0.3,0.3,Khem Birch,C,C,2023,False
bitadgo01,23,0.582,3.1666666666666665,1.0666666666666667,4.266666666666667,0.7000000000000001,0.4000000000000001,Goga Bitadze,C,C,2023,False
biyombi01,30,0.555,4.3,0.9,4.3,1.4,0.3,Bismack Biyombo,C,C,2023,False
boehebu01,23,0.322,0.6,0.4,2.0,0.0,0.3,Buddy Boeheim,G,PG,2023,False
bogdabo01,30,0.585,3.1,2.8,14.1,0.3,0.8,Bogdan Bogdanović,G,SG,2023,False
bogdabo02,33,0.627,3.8,2.6,21.6,0.1,0.6,Bojan Bogdanović,F,PF,2023,False
bolbo01,23,0.622,5.8,0.9,9.0,1.2,0.4,Bol Bol,F,PF,2023,False
bolmale01,22,0.15,0.5,0.5,0.4,0.1,0.2,Leandro Bolmaro,G,SG,2023,False
bookede01,26,0.602,4.6,5.5,28.0,0.3,1.0,Devin Booker,G,SG,2023,False
bostobr01,21,0.519,1.4,0.9,6.8,0.0,0.4,Brandon Boston Jr.,G,SG,2023,False
bouchch01,30,0.593,5.6,0.4,9.5,0.8,0.6,Chris Boucher,F,PF,2023,False
bouknja01,22,0.474,2.1,1.2,5.4,0.2,0.4,James Bouknight,G,SG,2023,False
bouyeja01,23,0.34800000000000003,1.1666666666666667,0.6,2.2666666666666666,0.3,0.6,Jamaree Bouyea,G,PG,2023,False
bradlto01,25,0.69,0.9,0.1,1.6,0.1,0.1,Tony Bradley,C,C,2023,False
branhma01,19,0.527,2.7,2.0,10.1,0.1,0.5,Malaki Branham,F,SF,2023,False
brantja01,26,0.739,1.5,0.8,5.5,0.5,0.0,Jarrell Brantley,F,PF,2023,False
braunch01,21,0.563,2.3,0.8,4.4,0.2,0.5,Christian Braun,G,SG,2023,False
bridgmi01,26,0.598,4.5,3.2000000000000006,21.633333333333336,0.7333333333333334,1.0999999999999999,Mikal Bridges,F,SF,2023,False
brissos01,24,0.525,3.3,0.6,6.0,0.2,0.5,Oshae Brissett,F,SF,2023,False
brogdma01,30,0.614,4.2,3.7,14.7,0.3,0.7,Malcolm Brogdon,G,PG,2023,False
brookdi01,27,0.492,3.3,2.6,14.2,0.2,0.9,Dillon Brooks,F,SF,2023,False
brownbr01,26,0.568,4.1,3.3,11.2,0.7,1.1,Bruce Brown,G,SG,2023,False
browngr01,21,0.421,1.2,0.2,1.8,0.3,0.3,Greg Brown III,F,PF,2023,False
brownja02,26,0.585,6.8,3.4,26.7,0.4,1.1,Jaylen Brown,F,SF,2023,True
brownke03,19,0.571,1.0,0.5,1.5,0.0,0.7,Kendall Brown,G,SG,2023,False
brownmo01,23,0.4046666666666667,2.6666666666666665,0.06666666666666667,2.9666666666666663,0.26666666666666666,0.2333333333333333,Moses Brown,C,C,2023,False
brownst02,27,0.0,2.0,0.5,0.0,0.0,0.8,Sterling Brown,G,SG,2023,False
browntr01,23,0.56,4.0,1.2,7.1,0.2,0.8,Troy Brown Jr.,F,SF,2023,False
brunsja01,26,0.597,3.5,6.2,24.0,0.2,0.9,Jalen Brunson,G,PG,2023,False
bryanth01,25,0.6386666666666666,5.2,0.43333333333333335,8.7,0.5,0.2333333333333333,Thomas Bryant,C,C,2023,False
bullore01,31,0.577,3.7,1.3,7.3,0.2,0.7,Reggie Bullock,F,SF,2023,False
burksal01,31,0.602,3.1,2.2,12.8,0.2,0.7,Alec Burks,G,SG,2023,False
burtode02,29,0.0,0.0,0.0,0.0,0.0,0.0,Deonte Burton,G,SG,2023,False
butleja02,22,0.545,0.3,1.0,3.0,0.0,1.0,Jared Butler,G,SG,2023,False
butleji01,33,0.645,5.9,5.3,22.9,0.3,1.9,Jimmy Butler,F,SF,2023,False
butlejo01,20,0.355,0.8,0.3,1.4,0.4,0.3,John Butler,C,C,2023,False
cainja01,23,0.579,2.6,0.6,4.4,0.0,0.5,Jamal Cain,F,SF,2023,False
caldwke01,29,0.594,2.8,2.4,10.7,0.4,1.5,Kentavious Caldwell-Pope,G,SG,2023,False
campafa01,31,0.36,0.3,1.1,1.3,0.0,0.8,Facundo Campazzo,G,PG,2023,False
cancavl01,25,0.613,2.1,1.4,4.9,0.2,0.3,Vlatko Čančar,F,PF,2023,False
